,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,frame_id,video_id,exercise_label
10,[ 0.30243084  0.55239606 -0.51577419],[ 0.47731867  0.5162822  -0.49252793],[ 0.19572277  0.46043181 -0.43179694],[ 0.5518716   0.4175249  -0.38923842],[ 0.19848113  0.2730093  -0.41906968],[ 0.54560018  0.24569696 -0.38987011],[ 0.3264336   0.43492016 -0.008066  ],[0.4128598  0.40721372 0.00809789],[0.30761358 0.42588177 0.33949077],[0.38943699 0.40628269 0.37567911],[0.33033726 0.43859372 0.72470325],[0.37074938 0.43685663 0.75790757],10,180,Bench press
11,[ 0.30143365  0.55057603 -0.54188085],[ 0.4757193   0.51573581 -0.51044691],[ 0.19246039  0.46967274 -0.43730941],[ 0.54293984  0.44178599 -0.31692204],[ 0.19843467  0.29414082 -0.40793458],[ 0.48001969  0.42528966 -0.18716282],[ 0.32777089  0.44395691 -0.00622401],[0.41582581 0.40886191 0.0064761 ],[0.3092584  0.46164024 0.34524366],[0.40949887 0.40049794 0.36546642],[0.3359946  0.44594043 0.73039013],[0.40969187 0.38138103 0.72299916],11,180,Bench press
12,[ 0.30090469  0.55107272 -0.56147224],[ 0.4762055   0.51406366 -0.56531364],[ 0.18872577  0.4776288  -0.45731068],[ 0.55319762  0.442067   -0.34148985],[ 0.19903749  0.29897445 -0.44766146],[ 0.54298478  0.3880564  -0.2559844 ],[ 0.32855308  0.44668058 -0.00285308],[0.42556903 0.41496199 0.00297638],[0.31135848 0.47180957 0.39067137],[0.4536916  0.39407688 0.38646761],[0.33556202 0.47251791 0.79290777],[0.47654346 0.36320028 0.77101886],12,180,Bench press
13,[ 0.30002528  0.5512529  -0.55112547],[ 0.47550747  0.51395845 -0.56276035],[ 0.18967822  0.49474278 -0.43460292],[ 0.55562592  0.44947779 -0.34340531],[ 0.20072904  0.31915644 -0.4208959 ],[ 0.54869747  0.34746858 -0.26512539],[ 0.33000845  0.44996133 -0.00185503],[0.42851162 0.41820168 0.00194224],[0.31361446 0.49598026 0.38894936],[0.46552524 0.39380386 0.37664473],[0.33546135 0.50771904 0.78629428],[0.49775413 0.35528776 0.74265987],13,180,Bench press
14,[ 0.29720527  0.55332285 -0.55505252],[ 0.4747799   0.51471573 -0.56142277],[ 0.18624093  0.50652212 -0.41944271],[ 0.55478734  0.46545261 -0.32131189],[ 0.20226748  0.33509687 -0.37081435],[ 0.55359095  0.36325029 -0.24136093],[ 0.3301864   0.44832489 -0.00933146],[0.42793277 0.42216507 0.00947297],[0.32602045 0.49506682 0.40387923],[0.433893   0.43973082 0.43999279],[0.35420024 0.49758103 0.8391003 ],[0.42390448 0.44383189 0.86759508],14,180,Bench press
15,[ 0.29822108  0.55299455 -0.52422434],[ 0.47475851  0.5149098  -0.50903195],[ 0.18470103  0.50503457 -0.38112852],[ 0.55824059  0.46283773 -0.31876308],[ 0.20438173  0.33232042 -0.33250821],[ 0.54883766  0.3556973  -0.2678515 ],[ 0.32703465  0.44101772 -0.01207571],[0.42286846 0.41058397 0.01222598],[0.32580647 0.47620025 0.39625227],[0.40678218 0.42649826 0.4187952 ],[0.34896716 0.48339549 0.81396693],[0.3851501  0.45136195 0.83415818],15,180,Bench press
16,[ 0.29850167  0.55389971 -0.48557085],[ 0.47240135  0.51539969 -0.46337897],[ 0.18579908  0.51810253 -0.35012138],[ 0.55936605  0.47499439 -0.29242617],[ 0.20321348  0.35909966 -0.29957426],[ 0.54861408  0.34059843 -0.25388408],[ 0.32744008  0.44357607 -0.01412724],[0.42148563 0.41360682 0.014236  ],[0.32655561 0.48569098 0.35688773],[0.41026649 0.45208055 0.40282759],[0.344933   0.49114713 0.74804145],[0.39070597 0.47431687 0.79517174],16,180,Bench press
17,[ 0.29856637  0.55572587 -0.47747478],[ 0.47241417  0.51642996 -0.46227062],[ 0.18665312  0.52807683 -0.33813289],[ 0.565404    0.48334926 -0.29396257],[ 0.20626886  0.35916939 -0.29988953],[ 0.54937553  0.33457559 -0.25743386],[ 0.32779071  0.44463453 -0.0136239 ],[0.42151362 0.41539499 0.01372836],[0.32661137 0.4903729  0.36065063],[0.40893191 0.4577024  0.40109494],[0.34233201 0.50811678 0.75968713],[0.39004102 0.49317408 0.80133814],17,180,Bench press
18,[ 0.29918391  0.55822289 -0.48670533],[ 0.47259766  0.52116483 -0.46768796],[ 0.18676308  0.54184884 -0.3370128 ],[ 0.56646132  0.49377844 -0.29939672],[ 0.21099974  0.36212131 -0.28889313],[ 0.54851609  0.33878976 -0.26273024],[ 0.32790151  0.4609575  -0.01343209],[0.42128047 0.4255119  0.01353137],[0.32871768 0.51004428 0.36080924],[0.41064328 0.47617441 0.40400127],[0.34384367 0.53128701 0.76452422],[0.39304081 0.51700985 0.80313408],18,180,Bench press
19,[ 0.2995359   0.56303596 -0.48925161],[ 0.47413757  0.52128607 -0.47681424],[ 0.18720354  0.55720538 -0.30942494],[ 0.57241255  0.50044864 -0.30341536],[ 0.21481887  0.37576959 -0.25077263],[ 0.54734462  0.34375769 -0.26040921],[ 0.3286384   0.47343943 -0.00918264],[0.42267451 0.43067306 0.00924001],[0.33339515 0.53365844 0.37867707],[0.41405073 0.49399453 0.40586665],[0.35033181 0.55393183 0.78975201],[0.39976659 0.53206855 0.81253952],19,180,Bench press
20,[ 0.30073941  0.56300724 -0.48998898],[ 0.47455162  0.52259183 -0.47074479],[ 0.18709353  0.55470151 -0.32765952],[ 0.57035619  0.5041014  -0.2913039 ],[ 0.21518795  0.37702778 -0.27633056],[ 0.54721648  0.35061532 -0.2519657 ],[ 0.32875437  0.47303402 -0.00918783],[0.42277941 0.4274596  0.00924511],[0.33184436 0.51936597 0.36663932],[0.41522309 0.47576764 0.40500546],[0.347781   0.54041356 0.75778019],[0.40047807 0.51877451 0.80036461],20,180,Bench press
21,[ 0.30081102  0.56200773 -0.48892051],[ 0.47543511  0.52735269 -0.46501347],[ 0.18706417  0.56058311 -0.32334813],[ 0.57117867  0.51389152 -0.27666718],[ 0.21620078  0.38305321 -0.27393281],[ 0.54660869  0.35466573 -0.24321778],[ 0.32939535  0.47482401 -0.00925046],[0.42437056 0.43345293 0.00930688],[0.33439356 0.51312655 0.36618039],[0.41568899 0.47997764 0.40095499],[0.34744227 0.53891593 0.75620306],[0.4003149  0.52522463 0.79361403],21,180,Bench press
22,[ 0.30224025  0.5682314  -0.50844014],[ 0.47858948  0.53511739 -0.50582713],[ 0.1878486   0.57077461 -0.33091533],[ 0.57018435  0.53089184 -0.29298496],[ 0.22149917  0.38943464 -0.24923511],[ 0.54797578  0.36138976 -0.22488181],[ 0.33077663  0.50004679 -0.00666947],[0.43296698 0.46721798 0.00673884],[0.33296496 0.53773254 0.40147918],[0.43415484 0.50974256 0.42389306],[0.34154919 0.5678339  0.8343178 ],[0.42001536 0.53782225 0.85413295],22,180,Bench press
23,[ 0.30228963  0.57559365 -0.51614022],[ 0.48003688  0.53734273 -0.50325835],[ 0.18807487  0.58659226 -0.31964782],[ 0.57140583  0.53146797 -0.29042754],[ 0.22167329  0.39527285 -0.25340366],[ 0.54760784  0.36829385 -0.23942618],[ 0.33158726  0.5050118  -0.00671215],[0.43334723 0.46618569 0.00678254],[0.33429095 0.54574853 0.41722137],[0.42686331 0.52337313 0.43967548],[0.34146631 0.57944864 0.86280161],[0.40774828 0.55794954 0.88407075],23,180,Bench press
24,[ 0.30140117  0.57760459 -0.49674174],[ 0.48058501  0.53780538 -0.47814736],[ 0.18820223  0.60080189 -0.30949414],[ 0.57276058  0.54239243 -0.27810267],[ 0.22178489  0.40248334 -0.23881871],[ 0.54663271  0.3741388  -0.2295423 ],[ 0.33161119  0.51994425 -0.0056816 ],[0.43349054 0.48193935 0.00573207],[0.33486405 0.56769687 0.41262013],[0.42543069 0.54440886 0.42800358],[0.34216642 0.60023683 0.82396436],[0.40679643 0.57516533 0.86937553],24,180,Bench press
25,[ 0.28627744  0.61730695 -0.51591265],[ 0.48305005  0.54792345 -0.49711138],[ 0.1900638   0.60387486 -0.31982574],[ 0.57171267  0.54337555 -0.28686649],[ 0.22315626  0.40074193 -0.24123412],[ 0.54642922  0.37757128 -0.23179211],[ 0.33162361  0.5206604  -0.00579024],[0.43463996 0.48191857 0.00584622],[0.33554757 0.56223339 0.42011401],[0.42664549 0.53370881 0.44889024],[0.34212074 0.59359378 0.86361963],[0.40640914 0.56810004 0.89516056],25,180,Bench press
26,[ 0.29199731  0.60494173 -0.4714264 ],[ 0.48295352  0.55009574 -0.45630932],[ 0.1861475   0.60628164 -0.30261743],[ 0.57189614  0.54266405 -0.27421856],[ 0.2266327   0.41011843 -0.24051209],[ 0.54707748  0.38997483 -0.23143964],[ 0.33256671  0.51956409 -0.00434671],[0.43456668 0.48039556 0.00442606],[0.33514372 0.55711699 0.38051468],[0.42651033 0.52699077 0.4000462 ],[0.33764285 0.58366209 0.76631653],[0.40262157 0.55242616 0.78477061],26,180,Bench press
27,[ 0.29303849  0.59900093 -0.48442033],[ 0.48445502  0.55676186 -0.4604564 ],[ 0.18020335  0.61244196 -0.31134188],[ 0.57271194  0.54876637 -0.28138351],[ 0.22840664  0.42155227 -0.23370112],[ 0.54723001  0.39710447 -0.2189948 ],[ 0.33255485  0.51341373 -0.00284628],[0.43579322 0.47523466 0.00295642],[0.33266744 0.5539887  0.39257812],[0.43718401 0.52625585 0.40874287],[0.32875881 0.58214426 0.79624432],[0.41454613 0.5294705  0.81608945],27,180,Bench press
28,[ 0.29431123  0.59567994 -0.48904908],[ 0.48592207  0.55877501 -0.46917641],[ 0.18036731  0.60728091 -0.316268  ],[ 0.57342744  0.54676294 -0.28443676],[ 0.22771496  0.41702822 -0.2438993 ],[ 0.54741096  0.39532915 -0.22244377],[ 0.33259982  0.5111748  -0.00305514],[0.43561184 0.47281232 0.0031647 ],[0.33164489 0.54876685 0.38809672],[0.43299073 0.5200637  0.40876675],[0.32501981 0.57775903 0.78850353],[0.40978339 0.53180248 0.81444228],28,180,Bench press
29,[ 0.29496226  0.59364557 -0.46912673],[ 0.48644012  0.55635923 -0.45094147],[ 0.18008664  0.60290742 -0.30179089],[ 0.57512283  0.54288602 -0.26457128],[ 0.22682272  0.41122475 -0.24165575],[ 0.54862589  0.39392605 -0.21398735],[ 0.33321211  0.50917596 -0.00320907],[0.4354234  0.47116417 0.00331798],[0.32876188 0.54692101 0.37295303],[0.4259707  0.51579225 0.39784333],[0.32569647 0.57320935 0.76348728],[0.40187779 0.53039289 0.78555733],29,180,Bench press
30,[ 0.29571596  0.59313053 -0.46443444],[ 0.48638174  0.55518299 -0.44626322],[ 0.17878672  0.60303938 -0.30372727],[ 0.57488412  0.54233432 -0.26380551],[ 0.22647785  0.41079473 -0.24551181],[ 0.54853112  0.39041728 -0.21035726],[ 0.33536762  0.51394302 -0.00319119],[0.4359543  0.47366041 0.00330312],[0.3285403  0.55033362 0.36565557],[0.42589039 0.51302248 0.38708583],[0.32651523 0.57328492 0.74801242],[0.40223938 0.53350198 0.76430112],30,180,Bench press
31,[ 0.29380804  0.59928125 -0.44823095],[ 0.48609203  0.55469269 -0.43030941],[ 0.1776548   0.59147954 -0.29853535],[ 0.57515538  0.54157895 -0.24869338],[ 0.22606653  0.39746925 -0.24256466],[ 0.54805255  0.38209981 -0.20169058],[ 0.32884964  0.4724479  -0.00348099],[0.43018502 0.43280491 0.00361193],[0.32055691 0.50158906 0.35548335],[0.41649053 0.45723152 0.37791795],[0.32728851 0.50173879 0.73428971],[0.39482957 0.47748527 0.75144964],31,180,Bench press
32,[ 0.29931244  0.59754801 -0.44344491],[ 0.48516551  0.54335725 -0.4186953 ],[ 0.18597165  0.57384348 -0.35305324],[ 0.57565141  0.52493167 -0.34641534],[ 0.19115023  0.37417683 -0.36808097],[ 0.54891229  0.36506149 -0.39426118],[ 0.3351956   0.47775552 -0.00376632],[0.42959854 0.43521601 0.00387191],[0.32960528 0.50714535 0.32547081],[0.41292751 0.46691409 0.353461  ],[0.33512482 0.49899298 0.68324208],[0.39641947 0.45999187 0.69268501],32,180,Bench press
33,[ 0.29744062  0.59541559 -0.4358114 ],[ 0.48498681  0.53429532 -0.41566166],[ 0.18641479  0.5439766  -0.34485754],[ 0.57724667  0.51154125 -0.30971107],[ 0.19763927  0.33424813 -0.33107403],[ 0.54882431  0.34670502 -0.30762407],[ 0.33347347  0.47467002 -0.00500029],[0.42893949 0.4322798  0.0050934 ],[0.32043046 0.51183921 0.32573095],[0.40309951 0.46912715 0.35924974],[0.3331126  0.50543475 0.69297546],[0.38268027 0.47422701 0.71218449],33,180,Bench press
34,[ 0.29426357  0.57703269 -0.41949829],[ 0.48255771  0.52063292 -0.39876354],[ 0.18444091  0.51500976 -0.32186109],[ 0.57575142  0.4805972  -0.30419528],[ 0.2008442   0.32198519 -0.31554693],[ 0.55087548  0.3234278  -0.31860122],[ 0.33000708  0.44121647 -0.00604314],[0.42528439 0.40525806 0.00601973],[0.31877777 0.48503351 0.32934281],[0.3983728  0.4487659  0.35746577],[0.3295075  0.48058224 0.69727761],[0.37876993 0.46472165 0.7152316 ],34,180,Bench press
35,[ 0.29332742  0.56926858 -0.42981687],[ 0.47985044  0.51732159 -0.40306509],[ 0.18432961  0.51163238 -0.32163292],[ 0.57424909  0.48119259 -0.28920299],[ 0.20135412  0.31499401 -0.30981481],[ 0.55111349  0.32383481 -0.29585132],[ 0.32792366  0.44253802 -0.01033077],[0.4253687  0.40990689 0.01030752],[0.32284692 0.46760857 0.31656513],[0.40083915 0.44310889 0.35465851],[0.33237547 0.46519771 0.6738978 ],[0.38157427 0.460899   0.70096767],35,180,Bench press
36,[ 0.28948459  0.56782085 -0.48901415],[ 0.47969943  0.50918758 -0.44621691],[ 0.18426472  0.50113517 -0.37258163],[ 0.57422835  0.46017516 -0.32722738],[ 0.1974811   0.29001102 -0.36234233],[ 0.55110246  0.2931084  -0.33828333],[ 0.32810584  0.44506556 -0.01235579],[0.42907432 0.42332846 0.01230081],[0.32657105 0.46885914 0.35330269],[0.40406421 0.4491401  0.39423046],[0.33323902 0.47327307 0.74005288],[0.38678551 0.46568203 0.78096014],36,180,Bench press
37,[ 0.29000655  0.55776846 -0.45924446],[ 0.4790197   0.50149065 -0.40669379],[ 0.18399285  0.47628507 -0.36778161],[ 0.57024461  0.43260133 -0.31653985],[ 0.19854456  0.27785143 -0.37373954],[ 0.55108106  0.26940385 -0.34260023],[ 0.32499298  0.40794837 -0.01642375],[0.423179  0.3799074 0.016341 ],[0.32590666 0.39274898 0.3111079 ],[0.40371343 0.38468236 0.35679293],[0.33186692 0.40527922 0.66506237],[0.38832572 0.40674576 0.7047922 ],37,180,Bench press
38,[ 0.28825474  0.55054623 -0.47271934],[ 0.47872227  0.50541675 -0.41377094],[ 0.18112101  0.45601347 -0.38792917],[ 0.56775916  0.42660218 -0.32621923],[ 0.19553941  0.25959963 -0.4046846 ],[ 0.55154157  0.25591207 -0.37262294],[ 0.32323325  0.41998973 -0.01904284],[0.42059013 0.38782489 0.01891788],[0.31986746 0.39071032 0.32428846],[0.3927004  0.38504508 0.37399429],[0.32524014 0.39628768 0.69810641],[0.37831068 0.40685752 0.75581878],38,180,Bench press
39,[ 0.28872231  0.54213989 -0.47133616],[ 0.47877946  0.50247246 -0.42816553],[ 0.18437098  0.43595934 -0.39649513],[ 0.56416577  0.41302016 -0.34848338],[ 0.1946972   0.24561048 -0.43908229],[ 0.55148691  0.23307313 -0.39652601],[ 0.32354078  0.42506585 -0.01816571],[0.42118904 0.39474273 0.01807025],[0.31925192 0.40912056 0.32710382],[0.39496279 0.3956714  0.35485095],[0.32466653 0.40112713 0.68637842],[0.37831002 0.40337926 0.71100277],39,180,Bench press
40,[ 0.28905392  0.53970945 -0.47064975],[ 0.47886437  0.5016681  -0.43747324],[ 0.18633194  0.43311423 -0.40395483],[ 0.56270224  0.40964898 -0.3564741 ],[ 0.19455913  0.24205376 -0.4521741 ],[ 0.55101931  0.22745906 -0.40604481],[ 0.32364655  0.42873043 -0.01752438],[0.42174014 0.40506995 0.01744584],[0.31771049 0.41545045 0.32599446],[0.39459053 0.40123081 0.35118017],[0.32269257 0.40276632 0.68230367],[0.37743863 0.40342695 0.70522612],40,180,Bench press
41,[ 0.28927878  0.53476369 -0.48525178],[ 0.47777563  0.50188047 -0.460096  ],[ 0.1931819   0.4235974  -0.43369526],[ 0.55615216  0.38930553 -0.38746253],[ 0.19183435  0.23216724 -0.50996536],[ 0.55038089  0.19998831 -0.45554623],[ 0.32373101  0.42347556 -0.02034184],[0.41857296 0.4048236  0.02023822],[0.31257847 0.37644687 0.33897001],[0.39217487 0.36968908 0.37290967],[0.32019413 0.35033846 0.71698368],[0.37677467 0.36008793 0.75636739],41,180,Bench press
42,[ 0.28944454  0.52925158 -0.48395985],[ 0.47728717  0.49785268 -0.45405945],[ 0.19603004  0.40584919 -0.41547245],[ 0.55032611  0.37688982 -0.37503815],[ 0.19080092  0.19739875 -0.47495547],[ 0.54710078  0.18359029 -0.43108234],[ 0.3239789   0.41982687 -0.02053102],[0.41781563 0.39792272 0.02046627],[0.31101027 0.36853883 0.33874646],[0.38858688 0.36432293 0.37279588],[0.31883144 0.34905261 0.71614772],[0.3687993  0.36737809 0.75212377],42,180,Bench press
43,[ 0.28952444  0.52215993 -0.49488893],[ 0.47761974  0.49440262 -0.47893587],[ 0.20149256  0.3892898  -0.44909781],[ 0.54733032  0.36121923 -0.40937641],[ 0.19136211  0.16820872 -0.53987014],[ 0.54596466  0.16316645 -0.47901073],[ 0.32420322  0.41041484 -0.02084334],[0.41841325 0.39760157 0.02081973],[0.31120422 0.35150254 0.34882575],[0.38882604 0.35918835 0.38134786],[0.31784293 0.33055115 0.74664599],[0.36540696 0.35706079 0.77934903],43,180,Bench press
44,[0.53965497 0.67734164 0.27430758],[0.46256095 0.5823639  0.55976647],[ 0.59431088  0.63132811 -0.00893451],[0.42779765 0.50596768 0.61328036],[ 0.59664571  0.45661712 -0.15454306],[0.41187397 0.36963654 0.59040207],[ 0.37696713  0.7427094  -0.06982794],[0.33195055 0.65950513 0.06984878],[ 0.32302362  0.77959526 -0.5332458 ],[ 0.25900489  0.60275102 -0.24398832],[ 0.23450418  0.91145808 -0.88750213],[ 0.22462355  0.82221389 -0.52032566],0,181,Bench press
45,[0.54272389 0.68287283 0.24192508],[0.46290824 0.58126086 0.46757254],[ 0.59195864  0.62855828 -0.00859854],[0.42582688 0.51073843 0.51452583],[ 0.59704113  0.45837399 -0.14182502],[0.41201007 0.37154821 0.46788329],[ 0.37443438  0.74270034 -0.04979552],[0.33116302 0.65747815 0.0498258 ],[ 0.32194787  0.77879441 -0.5055021 ],[ 0.25566366  0.60415447 -0.21286294],[ 0.23607372  0.91256428 -0.84761226],[ 0.22751507  0.82312179 -0.45151889],1,181,Bench press
46,[0.54672235 0.68956232 0.21909192],[0.46417761 0.5829336  0.44067881],[ 0.60466135  0.62693357 -0.02650484],[0.42645591 0.51675642 0.47303981],[ 0.59790921  0.46101743 -0.1572006 ],[0.41189805 0.37209529 0.4131346 ],[ 0.37511146  0.74239576 -0.04563546],[0.33116695 0.65838522 0.04572099],[ 0.31941089  0.77993864 -0.51307571],[ 0.24535097  0.62481213 -0.09629464],[ 0.23987004  0.93289125 -0.81571084],[ 0.23243137  0.82893294 -0.19264932],2,181,Bench press
47,[0.55082518 0.68973631 0.22837321],[0.46502665 0.58884156 0.45384702],[ 0.61035115  0.61929685 -0.02328946],[0.42634505 0.53207588 0.4739843 ],[ 0.59680808  0.46421185 -0.15419668],[0.41184103 0.38564554 0.40063491],[ 0.37803274  0.73919898 -0.04662438],[0.33004144 0.66132408 0.04666873],[ 0.31885785  0.7831853  -0.51422817],[ 0.24722603  0.62234819 -0.15518361],[ 0.23553541  0.93005371 -0.85727322],[ 0.23262614  0.82874578 -0.36326185],3,181,Bench press
48,[0.56180751 0.68939418 0.23713136],[0.4731102  0.58929485 0.45600328],[ 0.59781927  0.65951473 -0.03025107],[0.42620489 0.54507959 0.49807772],[ 0.59419125  0.50628227 -0.18547939],[0.41214526 0.40882853 0.45630831],[ 0.37805519  0.73886591 -0.04393909],[0.33395678 0.66226828 0.04393411],[ 0.315166    0.78315318 -0.47710323],[ 0.24730256  0.62190753 -0.17824036],[ 0.22770037  0.92971969 -0.83583289],[ 0.22128703  0.8270576  -0.40442842],4,181,Bench press
49,[0.55822921 0.68892586 0.21997713],[0.47506618 0.58031529 0.44206083],[ 0.58908004  0.69560492 -0.06633405],[0.42517856 0.55160087 0.48929179],[ 0.60248739  0.5335815  -0.21894282],[0.4120203  0.4190186  0.44686106],[ 0.37348872  0.74047405 -0.04126008],[0.33159044 0.6612438  0.0411648 ],[ 0.30773252  0.78915101 -0.45533276],[ 0.2478826   0.63274848 -0.19750221],[ 0.22852153  0.92790449 -0.6868636 ],[ 0.22390558  0.81999445 -0.3867678 ],5,181,Bench press
50,[0.55667192 0.69272256 0.15334651],[0.47609881 0.58045131 0.42823786],[ 0.58049011  0.72185355 -0.10396071],[0.42414102 0.54987717 0.46492353],[ 0.59692258  0.55716616 -0.24355665],[0.41264904 0.43342838 0.40272981],[ 0.36637208  0.74373674 -0.07198091],[0.329642   0.66414529 0.07189796],[ 0.2333589   0.8195377  -0.36763149],[ 0.18705344  0.66503644 -0.06124623],[ 0.23938037  0.93262935 -0.26564381],[0.23156968 0.84028471 0.13838366],6,181,Bench press
51,[0.55656636 0.69472665 0.21003771],[0.47656459 0.56683743 0.43614376],[ 0.58303374  0.75591409 -0.08065883],[0.42340463 0.5470829  0.40589687],[ 0.59298998  0.57156676 -0.21308048],[0.41218778 0.43023852 0.25359032],[ 0.36667928  0.74395156 -0.04710928],[0.33080298 0.66239083 0.04697113],[ 0.26876238  0.81162822 -0.41121563],[ 0.21751194  0.64041805 -0.28567523],[ 0.22965506  0.92229086 -0.53525925],[ 0.21954374  0.82103294 -0.36857766],7,181,Bench press
